XML_ID;NAME;ID;PROP_PET_BIRTHDAY;PROP_PET_CATEGORY;PROP_PET_SEX;PROP_USER_ID;PROP_PET_BREED;PROP_PET_BREED_OTHER;PROP_PET_PHOTO
11200039;Чиро;11200039;05.06.2017;10687;10890412;2238921;10963309;;/upload/iblock/8a5/8a5fd10ee2b7c9fbbc072c1c3555bce1.jpg
11200459;Жужа;11200459;09.09.2013;10687;10890418;2590545;10963237;;/upload/iblock/89f/89fb5219a128d7eb75dea66fb7d4cd5e.jpg
11200567;Дуся;11200567;08.04.2009;10672;10890418;2590545;10962973;;/upload/iblock/6a3/6a3f5fad2eedf3a56575e52ff9f10ead.jpg
11200627;Соня;11200627;08.04.2009;10672;10890418;2590545;10962973;;
11200678;Lucky ;11200678;03.10.2017;10666;10890412;2590545;10962922;;/upload/iblock/c53/c53d1aff628608113cc55d3f3635d54e.jpg
11200738;Малыш;11200738;15.04.2017;10666;10890412;2590545;10962940;;/upload/iblock/ab7/ab7bfcede3cd5c6fab95247a9fa4d37f.jpg
11200786;Зина;11200786;;10666;10890418;2590545;10962940;;
11200807;Фергюсон;11200807;;10666;10890412;2590545;10962940;;
11202010;Феликс;11202010;08.06.2017;10672;10890412;2699725;10963039;;/upload/iblock/8c9/8c9f98461761a33dd3c086328938929a.jpg
11202019;Татоша;11202019;29.11.2016;10687;10890418;2146034;10963114;;/upload/iblock/18f/18f6d5fb87350ed8fce208769747adcc.jpg
11202049;Федя;11202049;06.05.2014;10672;10890412;2699725;10963039;;/upload/iblock/ee1/ee12a111907b9f565d22f035a5ca8819.jpg
11202112;Матильда;11202112;04.08.2016;10672;10890418;585574;10962994;;/upload/iblock/b01/b0122bf4b8604e84088bfb7ada6220f3.jpg
11202328;Аврора;11202328;17.07.2017;10687;10890418;2303749;10963270;;/upload/iblock/c37/c37a25733890148418ee494b79efd236.jpg
11202466;Мася ;11202466;05.02.2015;10687;10890418;2749987;10963147;;
11204578;Стейси ;11204578;11.07.2015;10672;10890418;180524;10963048;;/upload/iblock/2b5/2b5f0559125662bf165c995edf670fa7.jpg
11204629;Тайсон ;11204629;04.12.2017;10687;10890412;2524735;10963153;;
11205121;Тельман ;11205121;05.06.2014;10687;10890412;2655457;10963237;;/upload/iblock/0ee/0ee00e5b48370bdbaaab4918b8b13ab6.jpg
11205292;Челси ;11205292;26.08.2017;10687;10890418;2655457;10963246;;/upload/iblock/a53/a53cf29ab229a3ac08180f462cb7d462.jpg
11205316;Миша ;11205316;28.04.2015;10672;10890412;559946;10962973;;/upload/iblock/c96/c9624b9be3150d9ce76b7eccee663e4e.jpg
11205445;Дейзи;11205445;29.11.2010;10687;10890418;2217984;10963309;;/upload/iblock/c73/c734a8d191dc7325397403c005f41468.jpg
11205664;Молли;11205664;17.01.2014;10687;10890418;2217984;10963309;;/upload/iblock/976/9760ea7fd2ae73c139cd48da095b9085.jpg
11205667;Джулия;11205667;20.12.2014;10687;10890418;2295467;10963282;;/upload/iblock/7dc/7dc8a845875488c03f2bef0f445cdbb7.jpg
11205733;Боничка;11205733;28.02.2014;10687;10890418;2540183;10963339;;/upload/iblock/e49/e49eebfbedf6173dba9a7ed14be51899.jpg
11205736;Бони;11205736;20.12.2015;10687;10890418;2295467;10963282;;/upload/iblock/c9f/c9ffbff0a0377ebe2bef29ea84c855fb.jpg
11205886;Бася;11205886;17.09.2006;10672;10890412;2540183;10963006;;/upload/iblock/70b/70b746fa912af828c1e7e0c5cf14347a.jpg
11205964;Тагир;11205964;23.11.2016;10687;10890412;2703625;10963309;;/upload/iblock/ffd/ffdde8d7594bd3acc2f753599febe50c.jpg
11208676;Муфаса;11208676;08.01.2016;10687;10890412;1959932;10963132;;
11208682;Молли;11208682;25.10.2017;10672;10890418;2725801;10963009;;/upload/iblock/d44/d44f377043fdaf3befc611f6db624d2a.jpg
