name;country;address;address-add;phone;url;rubric-id;working-time;lat;lon;name,country,address,address-add,phone,url,rubric-id,working-time,lat,lon
Четыре Лапы;Россия;Волгоград, ул. им. Землячки, д. 110Б;Мармелад;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;48.745088474006;44.518723354492;
Четыре Лапы;Россия;Воронеж, бул. Победы, д. 23Б;Арена;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;51.710833674426;39.159654093254;
Четыре Лапы;Россия;Воронеж, Московский пр-т, 129/1;Московский проспект;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;51.717910269994;39.177771716602;
Четыре Лапы;Россия;Воронеж, Ленинский пр-т, д. 117;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;51.672136465612;39.2517652386;
Четыре Лапы;Россия;Воронеж, ул. Героев Сибиряков, д. 65А;Армада;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;51.646060617609;39.13892062897;
Четыре Лапы;Россия;Воронеж, ул. Домостроителей, д. 24;Лента;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;51.652875042213;39.148597694443;
Четыре Лапы;Россия;Воронеж, ул. Ростовская, д. 58/24;Южный полюс;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;51.603154060938;39.237883823501;
Четыре Лапы;Россия;Воскресенск, пл. Ленина, д. 5;Воскресенский;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.321611529212;38.672910915344;
Четыре Лапы;Россия;Воскресенск, ул. Кагана, д. 17;Атриум;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.312112224696;38.652018342326;
Четыре Лапы;Россия;Дзержинский, ул. Лесная, д. 5;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.630730841111;37.855518112509;
Четыре Лапы;Россия;Дмитров, ул. Профессиональная, д. 7;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;56.35253713411;37.520428545226;
Четыре Лапы;Россия;Дмитров, ул. Загорская, 36А;Малыш;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;56.341644653053;37.522066010317;
Четыре Лапы;Россия;Долгопрудный, ул. Новый бульвар, д. 3;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.937674912539;37.508676915344;
Четыре Лапы;Россия;Долгопрудный, Лихачевский проспект, д. 64;Конфитюр;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.931216931377;37.494150317791;
Четыре Лапы;Россия;Дубна, Боголюбова пр-т, д. 24А;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;56.735698368098;37.157284591621;
Четыре Лапы;Россия;Егорьевск, ул. Советская, д. 187;Магнит;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.375858803008;39.047528595618;
Четыре Лапы;Россия;Железнодорожный, ул. Юбилейная, д. 2;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.742174248784;38.015705693973;
Четыре Лапы;Россия;Железнодорожный, ул.Советская, д. 9;Эдельвейс;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.751365744382;38.011708190958;
Четыре Лапы;Россия;Железнодорожный, ул. Рождественская д. 8;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.744034710615;37.998729006877;
Четыре Лапы;Россия;Жуковский, ул. Горького, д. 5;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.592698207673;38.121392487149;
Четыре Лапы;Россия;Жуковский, ул. Дугина, 28к12;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.599097;38.089763;
Четыре Лапы;Россия;Жуковский, ул. Лацкова, д. 3;Билла;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.607856724884;38.076962669868;
Четыре Лапы;Россия;Жуковский, ул. Фрунзе, д. 22;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 20:00;55.598120630055;38.122075206765;
Четыре Лапы;Россия;Жуковский, ул. Гагарина, д. 60А;Самолет;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.610318488251;38.08844678562;
Четыре Лапы;Россия;Зеленоград, Панфиловский пр-т, д. 6А;Панфиловский;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;56.008694220774;37.199822980169;
Четыре Лапы;Россия;Зеленоград,  ул. Жилинская, д. 1, стр. 1;Ашан;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 22:00;55.984007042317;37.142538669312;
Четыре Лапы;Россия;Зеленоград, 1805;Омега;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.979717;37.162692;
Четыре Лапы;Россия;Зеленоград, пос. Ржавки, д. 20;Зеленопарк;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.998883197283;37.258697563773;
Четыре Лапы;Россия;Иваново, ул. 8 марта, д. 32;Серебряный Город;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;57.005058748916;40.983604645411;
Четыре Лапы;Россия;Иваново, ул. Куконковых, д. 141;Ашан;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 22:00;56.965343617842;41.027217852455;
Четыре Лапы;Россия;Иваново, ул. Лежневская, д. 55;Тополь;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;56.982531928847;40.981835;
Четыре Лапы;Россия;Калуга, ул. Кирова, д. 20;Галерея;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 21:00;54.514899268415;36.250054544156;
Четыре Лапы;Россия;Калуга, ул. Кирова, д. 64;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;54.513501139881;36.262460967436;
Четыре Лапы;Россия;Климовск, ул. Молодежная, д. 11;Глобус;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 22:00;55.38558680278;37.544718990509;
Четыре Лапы;Россия;Клин, ул. Гагарина, 31к36;Атак;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 -21:00;56.332011160053;36.730692632683;
Четыре Лапы;Россия;Ковров, ул. Лопатина, д. 7А;Ковров - Молл;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;56.365148618138;41.303402559524;
Четыре Лапы;Россия;Коломна, пл. Восстания, д. 7;Кадо;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.084105793404;38.804534311264;
Четыре Лапы;Россия;Коломна, пл. Советская, д. 8;Глобус;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.095727001011;38.763996957672;
